Sentence,Type
Cinchona bark as imported is never uniform in quality.,2
No definite knowledge has as yet been attained of the exact steps by which quinine is formed in nature in the tissues of the bark.,2
"Free access of air to the tissues also seems to increase the yield of quinine, for the renewed bark is found to contain more quinine than the original bark",2
"Ginkgo biloba, which may reach a height of over 30 metres, forms a tree of pyramidal shape with a smooth grey bark.",2
"Cheeses of ewe's milk, packed in sheepskins or bark, are in great demand.",2
In Lapland the bark is made into ropes.,2
The bark is astringent; it is used for tanning and dyeing.,2
They use small bark canoes.,2
"They cultivate mandioc, and make pottery and bark canoes.",2
The inner bark of the cork-tree is a valuable tanning material.,2
The houses are generally built of wood and roofed with birch bark covered with turf.,2
Don't let the dogs bark,1
Dogs always bark at strangers,1
That dog is trained to bark at strangers.,1
Bears like to scratch their back on tree bark.,1
Dogs that bark a lot usually aren't dangerous.,1
That dog's bark wouldn't even scare off a baby.,1
"The dogs bark, but the caravan goes on.",1
You cannot judge a tree by its bark.,2
Dogs that bark at a distance bite not at hand.,1
"The dog's bark ran towards him, stopped, ran back.",1
"Hands touched her, hands as rough and dry as bark.",2
Then the dog that was two houses away began to bark.,1
Two dogs from behind the wall began to bark frantically.,1
The dog gave a quick bark and turned and bounded after it.,1
"It was not a bark of defiance, nor of alarm, nor of astonishment, nor of warning.",1
"He rolled the bark tightly, and tied it with the thread which she brought from her bundle.",2
I said it because I had recognized by the dog's bark that it was Sam Smith's tan.,1
Having said this he immediately took a sharp axe with which to remove the bark and the rough surface.,2
"His leg was badly broken, and nearly severed by his efforts to get loose, and the bark of the poles was worn away within reach of his struggles.",2
Do you forbid even to bark at these wolves?,1
"A joyous, willing bark rang out.",1
I always said yer bark was worse than yer bite.,1
Menard rested his hand on a strip of rotting bark in the wall.,2
"But no sooner did he see who it was than he gave a joyful bark and attempted to spring forward to meet him, but fell from weakness.",1
"Suddenly he sprang up and bounded impetuously against the wall with a hoarse, rough bark of fearful loudness.",1
Adolfo loved to bark.,1
"And for some reason, the bear started to bark.",1
"He gave three short blasts, and Sig started to bark on the run.",1
"The dogs were underground and had their muzzles bound with tape, in order to not let them bark and annoy the neighbours.",1
"There were two guard dogs, and whenever the gate was approached the dogs liked to growl and bark.",1
"Indeed, people from across the country have written to me complaining not only about the dogs's bark but about peacocks' screeching and peahens, among other things.",1
"If he will take the remark as a compliment, for it is so intended, he is a watchdog who is used to bark in the night.",1
when the phone was passed to her all she heard was the dog's bark and no more.,1
"What is the status, if any, of noisy animals, such as the constant bark of dog that is often left alone at home overnight?",1
