Sentence,Type
"He grabbed an order of French fries and a burger at the drive-in of a national chain, eating on the road, licking the salt from his fingers as he searched among the glass and steel structures for the address he had jotted down earlier.",1
Did he leave a forwarding address?,1
"Dean asked Hunter for the address, just in case.",1
Jenny didn't recognize the address.,1
Did he give you his forwarding address?,1
"In December 1854, after a fatiguing address to a public meeting, followed by prolonged exposure to a south-east gale, his constitution entirely broke down.",2
"Theodore refused to attend or recognize the new council, and was banished first to Bithynia and thence to Smyrna, whence he continued to address his appeals to the pope, to the eastern patriarchs and to his dispersed monks.",2
"All these nearly allied schools of Christian thought could, moreover, address, as against the image worshippers, a very effective appeal to the Bible and to Christian antiquity.",2
I texted you the street address.,1
I need the address.,1
