Sentence,Type
"There are likewise diverse possible ways to categorize rights, such as who is alleged to have the right.",3
"There are likewise diverse possible ways to categorize rights, such as what actions or states or objects the asserted right.",3
"For example, it has been argued that humans have a natural right to life.",3
An example of a legal right is the right to vote of citizens.,3
"A claim right is a right which entails that another person has a duty to the right-holder. Somebody else must do or refrain from doing something to or for the claim holder, such as perform a service or supply a product for him or her; that is, he or she has a claim to that service or product (another term is thing in action).",3
"A liberty right or privilege, in contrast, is simply a freedom or permission for the right-holder to do something, and there are no obligations on other parties to do or not do anything.",3
"For example, if a person has a legal liberty right to free speech, that merely means that it is not legally forbidden for them to speak freely: it does not mean that anyone has to help enable their speech, or to listen to their speech; or even, per se, refrain from stopping them from speaking, though other rights, such as the claim right to be free from assault, may severely limit what others can do to stop them.",3
"In one sense, a right is a permission to do something or an entitlement to a specific service or treatment from others, and these rights have been called positive rights.",3
"Positive rights are permissions to do things, or entitlements to be done unto. One example of a positive right is the purported ""right to welfare.""[",3
Group rights have been argued to exist when a group is seen as more than a mere composite or assembly of separate individuals but an entity in its own right,3
"The Miranda warning requires police officers to read a statement to people being arrested which informs them that they have certain rights, such as the right to remain silent and the right to have an attorney.",3
Every day fewer places exist where a single person has legal right to end the life of another.,3
